user,jobId,taskAmount,taskLength,taskTime,taskDiskUsage,taskRam,averageTaskCpu,taskCores,schedulingClass,jobCreationTime,jobStartTime,jobEndTime,executionAttempts,evictionAmounts
fJYeclskJqPWsAT6TX/r9X5OiIZpSEb2PBGliYAOMxM=,6251502183,1,240334307,375582439,0.00001144,0.004776,0.0029143166666666664,0.0125,1,23341173402,23343395792,23718978239,1,
njgsHP+OyQXqwu9U5QZ9QC5DS/+IM5Ktlf+o2A1xdTQ=,6251610439,70,3701878214,3387982697,0.00003815,0.020689999999999993,0.035091386772486736,0.09997999999999997,1,0,0,5213614939,1,
8OkMisyvwLRFV8wxW85Psk0o/my2wpLBMFuoz4pvotY=,6251639598,39,2056498270,3829238425.25,0.00003052000000000001,0.0031090000000000002,0.0005409644117647056,0.0006247000000000003,0,0,0,13553331244,1,
lRvqPbzcyVpWRGsqXd+PVsDiyS2pJxa2BogyAArJVlo=,6251660967,1,3860501402,20222187191,0.0001154,0.0159,0.013713729166666667,0.0625,0,13948667867,13954188386,34176375588,1,
0r3naaX+ybfsUIahb35AvYPC6MarnPhbqkAtRJor0xE=,6251669132,1,24733346,33934151,0.000007629,0.01125,0.00722368,0.03125,1,633230952,634642763,668576924,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251671514,1,89667112,126708596,0.00004482,0.006218,0.010560266666666667,0.0625,1,707506694,708866367,835574971,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251671552,1,14850835,274113002,0.00004482,0.002796,0.000600475,0.006248,1,845498744,847056937,1121169947,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251671589,1,14978825,201742677,0.00004482,0.002796,0.000507325,0.006248,1,1133431313,1135414845,1337157531,1,
ZHAzkawqKRJLjH0vstw83yLYltCctQ0DZEmZvQgnTvM=,6251672008,1,106496614,99957722,0.00001907,0.01244,0.008513533333333333,0.0625,1,715431768,716988004,816945734,1,
ZHAzkawqKRJLjH0vstw83yLYltCctQ0DZEmZvQgnTvM=,6251672040,1,416089369,401859113,0.00001907,0.01244,0.011675950000000001,0.0625,1,716217915,717762158,1119621279,1,
ZHAzkawqKRJLjH0vstw83yLYltCctQ0DZEmZvQgnTvM=,6251672079,1,62927337,70793254,0.00001907,0.01244,0.008282666666666667,0.0625,1,717004649,718518414,789311676,1,
ZHAzkawqKRJLjH0vstw83yLYltCctQ0DZEmZvQgnTvM=,6251672116,1,85033179,170463180,0.00001907,0.01244,0.00238425,0.0625,1,717778983,719242782,889705970,1,
fJYeclskJqPWsAT6TX/r9X5OiIZpSEb2PBGliYAOMxM=,6251674092,1,64030505,533192688,0.0001154,0.04773,0.014164871428571433,0.0625,2,757976967,760949162,1312432178,1,
0yO12LxPGQxL+XkI4hS6Tlyx5V3KOvjHS0DQSOJeMbs=,6251675406,1,85455429,79738461,0.000003815,0.0159,0.005693475,0.0625,1,1424446717,1429478077,1509216546,1,
ZHAzkawqKRJLjH0vstw83yLYltCctQ0DZEmZvQgnTvM=,6251687089,1,20824810,81671262,0.00001907,0.01244,0.007869475,0.0625,1,851953043,853553145,935224415,1,
ZHAzkawqKRJLjH0vstw83yLYltCctQ0DZEmZvQgnTvM=,6251687116,1,77932822,95993753,0.00001907,0.01244,0.0087445,0.0625,1,852780530,854581671,950575432,1,
ZHAzkawqKRJLjH0vstw83yLYltCctQ0DZEmZvQgnTvM=,6251687118,1,55729906,85991245,0.00001907,0.01244,0.006370425000000001,0.0625,1,852789556,854581682,940572935,1,
fJYeclskJqPWsAT6TX/r9X5OiIZpSEb2PBGliYAOMxM=,6251687214,1,158903832,1201403770,0.0001154,0.04773,0.0089819,0.0625,2,857735831,859909917,2083549289,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251687254,1,29373834,30578161,0.000003815,0.001554,0.0014065000000000002,0.006248,1,870114620,872243073,902821242,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251688326,1,89166683,642693835,0.00003815,0.01553,0.0031080166666666667,0.006248,1,870137000,872243050,1514936893,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251688348,1,180174406,468858847,0.000007629,0.003109,0.0016389999999999998,0.006248,1,870142570,872243062,1341101917,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251688370,1,283078475,202740804,0.000003815,0.006989,0.013645150000000002,0.04999,1,870144371,872259397,1075000209,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251688575,1,21746835,235764687,0.00003052,0.01244,0.00121864,0.009369,2,870110397,872259421,1108024117,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251693357,1,57332837,403680508,0.00001144,0.004662,0.0019503800000000003,0.03125,2,919621335,921188177,1324868694,1,
bPmfGUVHrdiUa3FNhN4Kkg76XAUHyurC3WbIJtula5U=,6251693448,1,44757181,60332680,0.000003815,0.001554,0.0008009333333333334,0.006248,0,919618701,921188209,981520899,1,
oPxcKd7feXmw+sZKrkp8/MvvNP/5kRG+Yy2fc/lz3Ks=,6251693717,1,93900139,527080259,0.00001144,0.004662,0.012747728571428573,0.0625,2,932643244,935163005,1487081867,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251695069,1,15195611,21547377,0.00004482,0.001865,0.0011443666666666665,0.006248,1,958517100,959973717,981521102,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251695084,1,55349400,131624564,0.00004482,0.006218,0.010440200000000002,0.0625,1,958522447,959973729,1091598301,1,
68CsCZngOkuQn5lVo+dNXKGoFx9ZmJXWR+W7NAUmEH4=,6251695179,1,10217594,305046277,0.00004482,0.002796,0.000337925,0.006248,1,1094663460,1096090712,1401136997,1,
9GFAxBWefZgy0kq2JqWsNbLELh83RjADrFYsb7JLu28=,6251697611,29,46241511,89728349.26666667,0.000019069999999999995,0.005486,0.0010317023958333344,0.009368999999999999,0,1032883467,1034391774,1246144919,1,
